,Brand,Racquet,Head Size (in),Length,Strung Weight (oz),Strung Weight (g),Balance,Balance Number,HH or HL,Swingweight,Stiffness,Power Level,Stroke Style,Swing Speed,Mains,Crosses,Minimum String Tension,Maximum String Tension
0,Wilson,Wilson Blade 100 v7,100,27,11.2,318,-3,3,HL,329,62,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
1,Wilson,Wilson Blade 98 (16x19) v6,98,27,11.3,320,-3,3,HL,327,67,Low-Medium,Full,Fast,16,19,50,60
2,Wilson,Wilson Blade 98L v6,98,27,10.6,303,-1,1,HL,313,68,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
3,Wilson,Wilson Blade 98 16x19 v7,98,27,11.4,323,-4,4,HL,328,62,Low-Medium,Full,Fast,16,19,50,60
4,Wilson,Wilson Blade 98 18x20 v7,98,27,11.4,323,-4,4,HL,334,62,Low,Full,Fast,18,20,50,60
5,Wilson,Wilson Blade 104 v7,104,27.5,10.8,306,-6,6,HL,321,60,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
6,Wilson,Wilson Blade 100L v7,100,27,10.6,301,-1,1,HL,316,69,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
7,Wilson,Wilson Blade SW102 Autograph,102,28,11.4,323,-7,7,HL,349,69,Low-Medium,Medium-Full,Medium-Fast,18,19,50,60
8,Wilson,Wilson Clash 100S,100,27,10.9,309,-7,7,HL,317,54,Low-Medium,Medium-Full,Medium-Fast,18,16,48,58
9,Wilson,Wilson Clash 100 Pro Silver,100,27,11.5,326,-9,9,HL,322,55,Low-Medium,Medium-Full,Medium-Fast,16,19,48,58
10,Wilson,Wilson Clash 100 Silver,100,27,11,312,-7,7,HL,312,55,Low-Medium,Medium-Full,Medium-Fast,16,19,48,58
11,Wilson,Wilson Clash 100L Silver,100,27,10.3,292,-6,6,HL,300,54,Low-Medium,Medium-Full,Medium-Fast,16,19,48,58
12,Wilson,Wilson Clash 100,100,27,11,312,-7,7,HL,312,55,Low-Medium,Medium-Full,Medium-Fast,16,19,48,58
13,Wilson,Wilson Clash 100 Pro (Formerly Tour),100,27,11.5,326,-9,9,HL,322,55,Low-Medium,Medium-Full,Medium-Fast,16,19,48,58
14,Wilson,Wilson Clash 98,98,27,11.5,326,-9,9,HL,326,55,Low,Full,Fast,16,19,48,58
15,Wilson,Wilson Clash 100L,100,27,10.3,292,-6,6,HL,300,54,Low-Medium,Medium-Full,Medium-Fast,16,19,48,58
16,Wilson,Wilson Clash 100UL,100,27,9.9,281,-1,1,HL,299,60,Low-Medium,Medium-Full,Medium-Fast,16,19,48,58
17,Wilson,Wilson Clash 108,108,27.25,10.4,295,0,0,Bal,312,56,Medium,Medium,Medium,16,19,48,58
18,Wilson,Wilson Pro Staff Six.One 100 v13,100,27,11.4,323,-5,5,HL,323,64,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
19,Wilson,Wilson Pro Staff 97 v13,97,27,11.7,332,-7,7,HL,321,66,Low,Full,Fast,16,19,50,60
20,Wilson,Wilson Pro Staff RF97 v13,97,27,12.6,357,-9,9,HL,333,68,Low,Full,Fast,16,19,50,60
21,Wilson,Wilson Pro Staff 97L v13,97,27,10.8,306,-3,3,HL,311,69,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
22,Wilson,Wilson Pro Staff 97UL v13,97,27,10,283,-4,4,HL,296,66,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
23,Wilson,Wilson Pro Staff 97 Black,97,27,11.7,331.69,-7,7,HL,324,66,Low,Full,Fast,16,19,50,60
24,Wilson,Wilson Ultra 100 Roland Garros,100,27,11.2,318,-4,4,HL,312,73,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
25,Wilson,Wilson Ultra 100 v2,100,27,11.2,318,-4,4,HL,314,74,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
26,Wilson,Wilson Ultra 100L v2,100,27,10.3,292,-3,3,HL,302,68,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
27,Wilson,Wilson Ultra 100L v3,100,27,10.4,295,-4,4,HL,296,68,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
28,Wilson,Wilson Ultra 100 v3,100,27,11.2,318,-4,4,HL,312,73,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
29,Wilson,Wilson Ultra 100UL v3,100,27,9.6,272,-3,3,HL,291,68,Low-Medium,Medium-Full,Medium-Fast,16,19,47,57
30,Wilson,Wilson Ultra 108 v3,108,27.25,10,283,-1,1,HL,306,69,Medium-High,Compact-Medium,Slow-Moderate,16,18,53,63
31,Wilson,Wilson Burn 100 v4,100,27,11.2,318,-3,3,HL,328,71,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
32,Wilson,Wilson Burn 100S v4,100,27,11.2,318,-3,3,HL,326,72,Low-Medium,Medium-Full,Medium-Fast,18,16,50,60
33,Wilson,Wilson Burn 100LS v4,100,27,10.5,298,-3,3,HL,314,71,Low-Medium,Medium-Full,Medium-Fast,18,16,50,60
34,Wilson,Wilson Burn 100ULS v4,100,27,9.7,275,-1,1,HL,304,67,Low-Medium,Medium-Full,Medium-Fast,18,16,50,60
37,Wilson,Wilson nPro Open,100,27,11.2,318,-4,4,HL,325,67,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
38,Wilson,Wilson Hyper Hammer 5.3 Stretch OS,110,27.5,9,255,8,8,HH,301,70,Medium,Medium,Medium,16,20,55,65
39,Babolat,Babolat Pure Aero USA,100,27,11.2,318,-4,4,HL,324,67,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
40,Babolat,Babolat Pure Aero Rafa,100,27,11.2,318,-4,4,HL,324,67,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
41,Babolat,Babolat Pure Aero VS,98,27,11.3,320,-6,6,HL,321,67,Low-Medium,Medium-Full,Medium-Fast,16,20,50,59
42,Babolat,Babolat Pure Aero VS 2-Pack,98,27,11.3,320,-6,6,HL,321,67,Low-Medium,Medium-Full,Medium-Fast,16,20,50,59
43,Babolat,Babolat Pure Aero,100,27,11.2,318,-4,4,HL,324,67,Low-Medium,Full,Fast,16,19,50,59
44,Babolat,Babolat Pure Aero Tour,100,27,11.8,335,-6,6,HL,327,68,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
45,Babolat,Babolat Pure Aero Plus,100,27.5,11.3,320,-6,6,HL,330,68,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
46,Babolat,Babolat Pure Aero Team,100,27,10.6,301,-4,4,HL,307,69,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
47,Babolat,Babolat Pure Aero Lite,100,27,10.1,286,0,0,Bal,311,68,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
48,Babolat,Babolat Pure Drive USA,100,27,11.2,318,-4,4,HL,321,71,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
49,Babolat,Babolat Pure Drive 2021,100,27,11.2,318,-4,4,HL,320,71,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
50,Babolat,Babolat Pure Drive Plus 2021,100,27.5,11.2,318,-6,6,HL,324,69,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
51,Babolat,Babolat Pure Drive Tour 2021,100,27,11.8,335,-6,6,HL,326,70,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
52,Babolat,Babolat Pure Drive 107 2021,107,27.2,10.6,301,-5,5,HL,309,69,Medium,Medium,Medium,16,19,50,59
53,Babolat,Babolat Pure Drive 110 2021,110,27.6,9.5,269,-3,3,HL,298,70,Medium-High,Compact-Medium,Slow-Moderate,16,19,50,59
54,Babolat,Babolat Pure Drive Team 2021,100,27,10.6,301,-5,5,HL,313,69,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
55,Babolat,Babolat Pure Drive Lite 2021,100,27,10,283,-1,1,HL,299,69,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
56,Babolat,Babolat Pure Drive VS,98,27,11.2,318,-4,4,HL,317,68,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
57,Babolat,Babolat Pure Strike 16x19 Japan,98,27,11.4,323,-4,4,HL,327,66,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
58,Babolat,Babolat Pure Strike 16x19 3rd Gen,98,27,11.4,323,-4,4,HL,327,66,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
59,Babolat,Babolat Pure Strike 18x20 3rd Gen,98,27,11.4,323,-4,4,HL,334,66,Low,Full,Fast,18,20,50,59
60,Babolat,Babolat Pure Strike Tour 3rd Gen,98,27,12,340,-6,6,HL,333,65,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
61,Babolat,Babolat Pure Strike 100 3rd Gen,100,27,11.1,315,-4,4,HL,319,69,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
62,Babolat,Babolat Pure Strike Team 3rd Gen,100,27,10.7,303,-1,1,HL,309,69,Low-Medium,Medium-Full,Medium-Fast,16,19,50,59
63,Babolat,Babolat Pure Strike EVO,102,27,10,283,-4,4,HL,308,65,Low-Medium,Medium-Full,Medium-Fast,16,19,50,55
64,Babolat,Babolat Drive Max 110,110,27.5,9.7,274.99,2,2,HH,302,69,High,Compact-Medium,Slow-Moderate,16,20,50,55
65,Babolat,Babolat Boost Drive,105,27,9.6,272,3,3,HH,312,65,Medium,Medium,Medium,16,19,50,55
66,Babolat,Babolat Boost Drive W,105,27,9.6,272,3,3,HH,312,65,Medium,Medium,Medium,16,19,50,55
67,Babolat,Babolat Aero 112,112,27.6,9.8,278,5,5,HH,324,72,Medium,Medium,Medium,16,19,50,59
68,Babolat,Babolat Boost S,102,27,10.4,295,-3,3,HL,312,68,Low-Medium,Medium-Full,Medium-Fast,16,19,50,55
69,Babolat,Babolat Boost Aero Yellow,102,27,9.8,278,2,2,HH,306,67,Low-Medium,Medium-Full,Medium-Fast,16,19,50,55
70,Babolat,Babolat Boost A W,102,27,9.8,278,2,2,HH,306,67,Low-Medium,Medium-Full,Medium-Fast,16,19,50,55
71,Head,Head Gravity Tour 2021,100,27,11.4,323,-4,4,HL,325,61,Low,Full,Fast,18,20,48,57
72,Head,Head Gravity Pro 2021,100,27,11.7,332,-6,6,HL,332,62,Low,Full,Fast,18,20,48,57
73,Head,Head Gravity S 2021,104,27,10.6,301,-3,3,HL,307,61,Low-Medium,Medium-Full,Medium-Fast,16,20,48,57
74,Head,Head Gravity MP 2021,100,27,11,312,-3,3,HL,323,62,Low-Medium,Medium-Full,Medium-Fast,16,20,48,57
75,Head,Head Gravity Lite 2021,104,27,10.1,286,0,0,Bal,298,60,Low-Medium,Medium-Full,Medium-Fast,16,20,48,57
76,Head,Head Graphene 360+ Speed Pro Black Racquets,100,27,11.6,329,-6,6,HL,329,62,Low,Full,Fast,18,20,48,57
77,Head,Head Graphene 360+ Speed MP Black Racquet,100,27,11.2,318,-4,4,HL,328,64,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
78,Head,Head Graphene 360+ Speed Pro,100,27,11.6,329,-6,6,HL,329,62,Low,Full,Fast,18,20,48,57
79,Head,Head Graphene 360+ Speed MP Racquets,100,27,11.2,318,-4,4,HL,328,64,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
80,Head,Head Graphene 360+ Speed MP Lite,100,27,10.3,292,-1,1,HL,313,64,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
81,Head,Head Graphene 360+ Speed S,100,27,10.6,301,-4,4,HL,307,69,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
82,Head,Head Graphene 360+ Speed Lite,100,27,9.8,278,2,2,HH,304,68,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
83,Head,Head Graphene 360+ Speed PWR,115,27.4,9.7,275,2,2,HH,319,69,High,Compact,Slow,16,19,52,62
84,Head,Head Graphene XT Speed MP,100,27,11.1,315,-4,4,HL,320,67,Low-Medium,Full,Fast,16,19,48,57
85,Head,Head Graphene XT Speed S,100,27,10.7,303.34,-1,1,HL,317,68,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
86,Head,Head Radical Pro 2021,98,27,11.7,332,-6,6,HL,330,65,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
